Cam 1 File Location,Camera 1 Input File,Cam 2 File Location,Camera 2 Input File,Start Frame,Frame Count
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_5.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_5.MP4,0,360
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_6.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_6.MP4,0,360
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_7static.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_7static.MP4,0,360
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_7.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_7.MP4,540,540
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_8.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_8.MP4,1200,240
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_9.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_9.MP4,240,240
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_11static.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_11static.MP4,120,360
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_11.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_11.MP4,600,360
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_12.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_12.MP4,840,600
/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam4/ToTrim/,Cam4_13.MP4,/Users/kristensteudel/Library/CloudStorage/GoogleDrive-steudelk@stanford.edu/My Drive/NMBL/Stanford Football OpenCap Screening/Sony Camera Calibration Videos /Testing December 10/Cam5/ToTrim/,Cam5_13.MP4,360,480
